Movie,Beisbol,Beisbol,2010,,Documentary
Movie,Pots and Pans,Acorralados,2012,,Drama
Movie,Dinner for Schmucks,Dinner for Schmucks,2010,114,Comedy
Movie,Masters of the Universe,Masters of the Universe,2019,,"Action,adventure,drama"
Movie,The A-Team,The A-Team,2010,117,"Action,adventure,comedy"
Movie,The Rescuer,The Rescuer,2011,84,Documentary
Movie,The Possession,The Possession,2012,92,"Horror,thriller"
Short,In absentia,In absentia,2013,41,"Drama,romance,short"
Movie,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,2018,110,Comedy
Video,Monster Mountain,Monster Mountain,2012,91,"Horror,sci-fi"
Movie,Real Steel,Real Steel,2011,127,"Action,drama,family"
Movie,Satin,Satin,2011,84,"Comedy,drama,music"
Movie,Caleuche: El llamado del Mar,Caleuche: El llamado del Mar,2012,100,"Drama,fantasy,horror"
Movie,L''apocalisse delle scimmie,L''apocalisse delle scimmie,2012,,Drama
Movie,The Giver,The Giver,2014,97,"Drama,romance,sci-fi"
Movie,Toy Story 3,Toy Story 3,2010,103,"Adventure,animation,comedy"
Movie,Project x27,The Devil Inside,2010,,"Horror,thriller"
Movie,Alita: Battle Angel,Alita: Battle Angel,2018,,"Action,adventure,romance"
Movie,"Cargo, les hommes perdus.","Cargo, les hommes perdus.",2010,93,"Adventure,romance"
Movie,Untitled The Flash Film,Untitled The Flash Film,2020,,"Action,adventure,fantasy"
Movie,Moving Target,Moving Target,2011,,"Drama,thriller"
Movie,Segurança Nacional,Segurança Nacional,2010,86,Action
Movie,Stolen Memories,Stolen Memories,2012,,Documentary
Movie,My Nappy Roots: A Journey Through Black Hair-itage,My Nappy Roots: A Journey Through Black Hair-itage,2010,90,Documentary
Movie,Danger Close,Danger Close,2019,,"Action,drama,war"
Movie,Lincoln,Lincoln,2012,150,"Biography,drama,history"
Movie,Milenge Milenge,Milenge Milenge,2010,109,"Drama,romance"
Movie,Before We Go,Before We Go,2014,95,"Comedy,drama,romance"
Movie,The History of Love,The History of Love,2016,134,"Drama,romance,war"
Movie,Vidas pequeñas,Vidas pequeñas,2010,115,Drama
Movie,7 Days,Les 7 jours du talion,2010,105,"Crime,drama,horror"
Movie,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112,"Action,comedy,romance"
Tvmovie,The Corrections,The Corrections,2012,,Drama
Movie,Dream Street,Dream Street,2010,,Drama
Movie,Surviving in L.A.,Surviving in L.A.,2018,,"Comedy,drama,romance"
Movie,A Bird of the Air,A Bird of the Air,2011,108,"Drama,romance"
Movie,Shazam!,Shazam!,2019,,"Action,fantasy,sci-fi"
Tvseries,Tanging yaman,Tanging yaman,2010,,Drama
Movie,Puss in Boots,Puss in Boots,2011,90,"Action,adventure,animation"
Movie,Diary of a Bad Lad,Diary of a Bad Lad,2010,92,"Comedy,crime"
Movie,Mad World,Mad World,2010,98,Drama
Movie,The Passing,The Passing,2011,92,Horror
Movie,Clawed,Sludge,2017,95,Horror
Movie,Wonder Woman,Wonder Woman,2017,141,"Action,adventure,fantasy"
Movie,Blunt Movie,Blunt Movie,2013,83,"Comedy,romance"
Movie,Party Crashers,Os Penetras,2012,88,Comedy
Movie,42,42,2013,128,"Biography,drama,sport"
Movie,El hada buena - Una fábula peronista,El hada buena - Una fábula peronista,2010,85,"Comedy,drama,sci-fi"
Movie,Life of Pi,Life of Pi,2012,127,"Adventure,drama,fantasy"
Movie,Being Flynn,Being Flynn,2012,102,Drama
Movie,The Crazies,The Crazies,2010,101,"Horror,thriller"
Movie,The Equalizer,The Equalizer,2014,132,"Action,crime,thriller"
Movie,Memorias del desarrollo,Memorias del desarrollo,2010,113,Drama
Movie,Captain America: The First Avenger,Captain America: The First Avenger,2011,124,"Action,adventure,sci-fi"
Movie,A Long Way Down,A Long Way Down,2014,96,"Comedy,drama"
Movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102,"Crime,thriller"
Movie,Generation P,Generation P,2011,112,"Comedy,drama,sci-fi"
Video,One Step Beyond,One Step Beyond,2012,56,Documentary
Movie,Drunkboat,Drunkboat,2010,98,Drama
Movie,The Grasslands,The Grasslands,2011,114,Drama
Movie,The Only Living Boy in New York,The Only Living Boy in New York,2017,89,Drama
Movie,Texxas Jam ''78,Texxas Jam ''78,2012,60,Documentary
Short,Career Day,Career Day,2016,8,"Comedy,family,short"
Movie,Saving Private Perez,Salvando al Soldado Pérez,2011,105,"Adventure,comedy,western"
